outcome,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population
case,202140,12-17,vaccinated,2332,4801539,23740,5615499
case,202140,12-17,vax with updated booster,,,23740,5615499
case,202140,18-29,vaccinated,9571,11839840,38756,10595621
case,202140,18-29,vax with updated booster,,,38756,10595621
case,202140,30-49,vaccinated,25229,22641584,58921,12473521
case,202140,30-49,vax with updated booster,,,58921,12473521
case,202140,50-64,vaccinated,19123,19882696,28284,6352268
case,202140,50-64,vax with updated booster,,,28284,6352268
case,202140,65-79,vaccinated,14184,14990939.1,12355,1760686.3
case,202140,65-79,vax with updated booster,,,12355,1760686.3
case,202140,80+,vaccinated,4601,4358645,3202,779042.85
case,202140,80+,vax with updated booster,,,3202,779042.85
case,202140,all_ages,vaccinated,72708,73713704.1,141518,31961139.15
case,202140,all_ages,vax with updated booster,,,141518,31961139.15
case,202141,12-17,vaccinated,2016,4926018,19159,5557291
case,202141,12-17,vax with updated booster,,,19159,5557291
case,202141,18-29,vaccinated,8843,12043288,32436,10471667
case,202141,18-29,vax with updated booster,,,32436,10471667
case,202141,30-49,vaccinated,22877,22943704,49589,12290728
case,202141,30-49,vax with updated booster,,,49589,12290728
case,202141,50-64,vaccinated,17534,20035731,24539,6256042
case,202141,50-64,vax with updated booster,,,24539,6256042
case,202141,65-79,vaccinated,12411,15054462.1,11104,1702599.3
case,202141,65-79,vax with updated booster,,,11104,1702599.3
case,202141,80+,vaccinated,4178,4373753,2959,758084.85
case,202141,80+,vax with updated booster,,,2959,758084.85
case,202141,all_ages,vaccinated,65843,74450938.1,120627,31479121.15
case,202141,all_ages,vax with updated booster,,,120627,31479121.15
case,202142,12-17,vaccinated,2004,5030855,15953,5508283
case,202142,12-17,vax with updated booster,,,15953,5508283
case,202142,18-29,vaccinated,7935,12226599,28797,10356561
case,202142,18-29,vax with updated booster,,,28797,10356561
case,202142,30-49,vaccinated,21365,23223413,43778,12122502
case,202142,30-49,vax with updated booster,,,43778,12122502
case,202142,50-64,vaccinated,16291,20176473,21254,6165317
case,202142,50-64,vax with updated booster,,,21254,6165317
case,202142,65-79,vaccinated,11011,15115747.1,9585,1667208.3
case,202142,65-79,vax with updated booster,,,9585,1667208.3
case,202142,80+,vaccinated,3671,4389118,2552,740240.85
case,202142,80+,vax with updated booster,,,2552,740240.85
case,202142,all_ages,vaccinated,60273,75131350.1,105966,31051829.15
case,202142,all_ages,vax with updated booster,,,105966,31051829.15
case,202143,12-17,vaccinated,2029,5115539,16398,5462973
case,202143,12-17,vax with updated booster,,,16398,5462973
case,202143,18-29,vaccinated,8811,12384587,30031,10241772
case,202143,18-29,vax with updated booster,,,30031,10241772
case,202143,30-49,vaccinated,22683,23459324,44051,11936825
case,202143,30-49,vax with updated booster,,,44051,11936825
case,202143,50-64,vaccinated,17167,20295939,21502,6044869
case,202143,50-64,vax with updated booster,,,21502,6044869
case,202143,65-79,vaccinated,10900,15166914.1,9398,1618171.85
case,202143,65-79,vax with updated booster,,,9398,1618171.85
case,202143,80+,vaccinated,3849,4402639,2637,706346.85
case,202143,80+,vax with updated booster,,,2637,706346.85
case,202143,all_ages,vaccinated,63410,75709403.1,107619,30547984.7
case,202143,all_ages,vax with updated booster,,,107619,30547984.7
case,202144,12-17,vaccinated,2558,5185026,17068,5419487
case,202144,12-17,vax with updated booster,,,17068,5419487
case,202144,18-29,vaccinated,11959,12522645,31662,10128145
case,202144,18-29,vax with updated booster,,,31662,10128145
case,202144,30-49,vaccinated,26611,23671077,45421,11746759
case,202144,30-49,vax with updated booster,,,45421,11746759
case,202144,50-64,vaccinated,18800,20401076,21774,5917513
case,202144,50-64,vax with updated booster,,,21774,5917513
case,202144,65-79,vaccinated,11035,15215729.1,9073,1574283.85
case,202144,65-79,vax with updated booster,,,9073,1574283.85
case,202144,80+,vaccinated,3911,4415853,2506,676270.05
case,202144,80+,vax with updated booster,,,2506,676270.05
case,202144,all_ages,vaccinated,72316,76226380.1,110436,30042970.9
case,202144,all_ages,vax with updated booster,,,110436,30042970.9
case,202145,12-17,vaccinated,2994,5242620,19508,5351839
case,202145,12-17,vax with updated booster,,,19508,5351839
case,202145,18-29,vaccinated,12900,12642375,34924,10017914
case,202145,18-29,vax with updated booster,,,34924,10017914
case,202145,30-49,vaccinated,31700,23862117,51904,11568944
case,202145,30-49,vax with updated booster,,,51904,11568944
case,202145,50-64,vaccinated,22197,20500971,25114,5802344
case,202145,50-64,vax with updated booster,,,25114,5802344
case,202145,65-79,vaccinated,11835,15282160.1,10111,1541860.85
case,202145,65-79,vax with updated booster,,,10111,1541860.85
case,202145,80+,vaccinated,4275,4434996,2782,659058.05
case,202145,80+,vax with updated booster,,,2782,659058.05
case,202145,all_ages,vaccinated,82907,76722619.1,124835,29590120.9
case,202145,all_ages,vax with updated booster,,,124835,29590120.9
case,202146,12-17,vaccinated,3446,5290541,20738,5273395
case,202146,12-17,vax with updated booster,,,20738,5273395
case,202146,18-29,vaccinated,14083,12748700,36803,9899994
case,202146,18-29,vax with updated booster,,,36803,9899994
case,202146,30-49,vaccinated,35169,24036805,56602,11376810
case,202146,30-49,vax with updated booster,,,56602,11376810
case,202146,50-64,vaccinated,25207,20594187,28583,5676704
case,202146,50-64,vax with updated booster,,,28583,5676704
case,202146,65-79,vaccinated,12977,15343644.1,11737,1509600.85
case,202146,65-79,vax with updated booster,,,11737,1509600.85
case,202146,80+,vaccinated,4360,4454077,3326,642475.05
case,202146,80+,vax with updated booster,,,3326,642475.05
case,202146,all_ages,vaccinated,91796,77177413.1,137051,29105583.9
case,202146,all_ages,vax with updated booster,,,137051,29105583.9
case,202147,12-17,vaccinated,2852,5334088,15174,5199551
case,202147,12-17,vax with updated booster,,,15174,5199551
case,202147,18-29,vaccinated,12660,12844595,31733,9764313
case,202147,18-29,vax with updated booster,,,31733,9764313
case,202147,30-49,vaccinated,32224,24190854,50422,11167722
case,202147,30-49,vax with updated booster,,,50422,11167722
case,202147,50-64,vaccinated,22920,20676067,25966,5531920
case,202147,50-64,vax with updated booster,,,25966,5531920
case,202147,65-79,vaccinated,11708,15388471.7,11274,1480794.85
case,202147,65-79,vax with updated booster,,,11274,1480794.85
case,202147,80+,vaccinated,4058,4469216,3238,628216.05
case,202147,80+,vax with updated booster,,,3238,628216.05
case,202147,all_ages,vaccinated,83570,77569203.7,122633,28572965.9
case,202147,all_ages,vax with updated booster,,,122633,28572965.9
case,202148,12-17,vaccinated,4947,5373360,25816,5155156
case,202148,12-17,vax with updated booster,,,25816,5155156
case,202148,18-29,vaccinated,21909,12935249,52803,9657492
case,202148,18-29,vax with updated booster,,,52803,9657492
case,202148,30-49,vaccinated,48236,24337296,75321,10999123
case,202148,30-49,vax with updated booster,,,75321,10999123
case,202148,50-64,vaccinated,33742,20757418,37568,5412433
case,202148,50-64,vax with updated booster,,,37568,5412433
case,202148,65-79,vaccinated,16284,15429504.7,15299,1460472.85
case,202148,65-79,vax with updated booster,,,15299,1460472.85
case,202148,80+,vaccinated,5297,4483843,4086,618884.05
case,202148,80+,vax with updated booster,,,4086,618884.05
case,202148,all_ages,vaccinated,125468,77943310.7,185077,28148404.9
case,202148,all_ages,vax with updated booster,,,185077,28148404.9
case,202149,12-17,vaccinated,4992,5411159,24292,5095082
case,202149,12-17,vax with updated booster,,,24292,5095082
case,202149,18-29,vaccinated,20868,13023512,46337,9506582
case,202149,18-29,vax with updated booster,,,46337,9506582
case,202149,30-49,vaccinated,42650,24475108,67913,10763644
case,202149,30-49,vax with updated booster,,,67913,10763644
case,202149,5-11,vaccinated,30,42389,34515,10856063
case,202149,5-11,vax with updated booster,,,,
case,202149,50-64,vaccinated,30235,20834875,35365,5250912
case,202149,50-64,vax with updated booster,,,35365,5250912
case,202149,65-79,vaccinated,13810,15464961.7,14758,1433269.85
case,202149,65-79,vax with updated booster,,,14758,1433269.85
case,202149,80+,vaccinated,4447,4494751,4034,606738.05
case,202149,80+,vax with updated booster,,,4034,606738.05
case,202149,all_ages,vaccinated,112010,78293207.7,168407,27561145.9
case,202149,all_ages,vax with updated booster,,,168407,27561145.9
case,202150,12-17,vaccinated,11121,5459534,29568,5034921
case,202150,12-17,vax with updated booster,,,29568,5034921
case,202150,18-29,vaccinated,52489,13091316,67247,9359116
case,202150,18-29,vax with updated booster,,,67247,9359116
case,202150,30-49,vaccinated,76282,24584583,85730,10552679
case,202150,30-49,vax with updated booster,,,85730,10552679
case,202150,5-11,vaccinated,506,442263,41031,10618525
case,202150,5-11,vax with updated booster,,,,
case,202150,50-64,vaccinated,39508,20900029,37984,5110033
case,202150,50-64,vax with updated booster,,,37984,5110033
case,202150,65-79,vaccinated,15990,15491680.7,14647,1412211.85
case,202150,65-79,vax with updated booster,,,14647,1412211.85
case,202150,80+,vaccinated,4405,4503435,3838,597222.05
case,202150,80+,vax with updated booster,,,3838,597222.05
case,202150,all_ages,vaccinated,188674,78571043.7,209446,27031261.9
case,202150,all_ages,vax with updated booster,,,209446,27031261.9
case,202151,12-17,vaccinated,28384,5526463,39683,4959839
case,202151,12-17,vax with updated booster,,,39683,4959839
case,202151,18-29,vaccinated,107117,13180683,115111,9169803
case,202151,18-29,vax with updated booster,,,115111,9169803
case,202151,30-49,vaccinated,160377,24725289,141453,10325033
case,202151,30-49,vax with updated booster,,,141453,10325033
case,202151,5-11,vaccinated,2840,1067808,50507,10368840
case,202151,5-11,vax with updated booster,,,,
case,202151,50-64,vaccinated,80076,20984498,54339,4961884.35
case,202151,50-64,vax with updated booster,,,54339,4961884.35
case,202151,65-79,vaccinated,28144,15527754.7,19159,1390350.3
case,202151,65-79,vax with updated booster,,,19159,1390350.3
case,202151,80+,vaccinated,6540,4514334,5065,587736.05
case,202151,80+,vax with updated booster,,,5065,587736.05
case,202151,all_ages,vaccinated,382254,78932558.7,335127,26434806.7
case,202151,all_ages,vax with updated booster,,,335127,26434806.7
case,202152,12-17,vaccinated,54125,5583602,64205,4900847
case,202152,12-17,vax with updated booster,,,64205,4900847
case,202152,18-29,vaccinated,202427,13267939,232226,9014009
case,202152,18-29,vax with updated booster,,,232226,9014009
case,202152,30-49,vaccinated,332369,24851931,290605,10147838
case,202152,30-49,vax with updated booster,,,290605,10147838
case,202152,5-11,vaccinated,10274,1502162,89776,10190794
case,202152,5-11,vax with updated booster,,,,
case,202152,50-64,vaccinated,197949,21058035,122014,4857578.35
case,202152,50-64,vax with updated booster,,,122014,4857578.35
case,202152,65-79,vaccinated,78727,15557324.7,42237,1377291.3
case,202152,65-79,vax with updated booster,,,42237,1377291.3
case,202152,80+,vaccinated,19660,4522947,10910,582230.05
case,202152,80+,vax with updated booster,,,10910,582230.05
case,202152,all_ages,vaccinated,831132,79258176.7,697992,25978946.7
case,202152,all_ages,vax with updated booster,,,697992,25978946.7
case,202201,12-17,vaccinated,88457,5911166,107056,5065897
case,202201,12-17,vax with updated booster,,,107056,5065897
case,202201,18-29,vaccinated,269419,13958224,297888,9375368
case,202201,18-29,vax with updated booster,,,297888,9375368
case,202201,30-49,vaccinated,416111,26037738,364565,10579278
case,202201,30-49,vax with updated booster,,,364565,10579278
case,202201,5-11,vaccinated,20733,1796907,150253,10495179
case,202201,5-11,vax with updated booster,,,,
case,202201,50-64,vaccinated,256068,22036142,164011,5053404.75
case,202201,50-64,vax with updated booster,,,164011,5053404.75
case,202201,65-79,vaccinated,105090,16402343.7,58163,1474620.3
case,202201,65-79,vax with updated booster,,,58163,1474620.3
case,202201,80+,vaccinated,28629,4755825,16426,635761.1
case,202201,80+,vax with updated booster,,,16426,635761.1
case,202201,all_ages,vaccinated,1075317,83190272.7,901053,27118432.15
case,202201,all_ages,vax with updated booster,,,901053,27118432.15
case,202202,12-17,vaccinated,92007,5954200,127003,4973871
case,202202,12-17,vax with updated booster,,,127003,4973871
case,202202,18-29,vaccinated,192576,14030909,238787,9191601
case,202202,18-29,vax with updated booster,,,238787,9191601
case,202202,30-49,vaccinated,341392,26134156,315026,10363149
case,202202,30-49,vax with updated booster,,,315026,10363149
case,202202,5-11,vaccinated,25889,1969959,166949,10277480
case,202202,5-11,vax with updated booster,,,,
case,202202,50-64,vaccinated,213363,22091290,145775,4954870.75
case,202202,50-64,vax with updated booster,,,145775,4954870.75
case,202202,65-79,vaccinated,97699,16422097.7,54873,1458884.3
case,202202,65-79,vax with updated booster,,,54873,1458884.3
case,202202,80+,vaccinated,27295,4761078,16095,630148.1
case,202202,80+,vax with updated booster,,,16095,630148.1
case,202202,all_ages,vaccinated,872325,83439530.7,770556,26598653.15
case,202202,all_ages,vax with updated booster,,,770556,26598653.15
case,202203,12-17,vaccinated,61174,6003252,89369,4885147
case,202203,12-17,vax with updated booster,,,89369,4885147
case,202203,18-29,vaccinated,134300,14110858,174067,9042308
case,202203,18-29,vax with updated booster,,,174067,9042308
case,202203,30-49,vaccinated,264462,26240279,246458,10191328
case,202203,30-49,vax with updated booster,,,246458,10191328
case,202203,5-11,vaccinated,23704,2147962,124886,10092302
case,202203,5-11,vax with updated booster,,,,
case,202203,50-64,vaccinated,162087,22150876,117263,4882179.75
case,202203,50-64,vax with updated booster,,,117263,4882179.75
case,202203,65-79,vaccinated,81760,16441526.7,47140,1446437.3
case,202203,65-79,vax with updated booster,,,47140,1446437.3
case,202203,80+,vaccinated,24319,4766299,14511,625578.1
case,202203,80+,vax with updated booster,,,14511,625578.1
case,202203,all_ages,vaccinated,666928,83709838.7,599439,26187831.15
case,202203,all_ages,vax with updated booster,,,599439,26187831.15
case,202204,12-17,vaccinated,32047,6068706,51152,4821928
case,202204,12-17,vax with updated booster,,,51152,4821928
case,202204,18-29,vaccinated,80862,14197592,113607,8924496
case,202204,18-29,vax with updated booster,,,113607,8924496
case,202204,30-49,vaccinated,164029,26353294,162629,10061604
case,202204,30-49,vax with updated booster,,,162629,10061604
case,202204,5-11,vaccinated,16523,2369952,78552,9956919
case,202204,5-11,vax with updated booster,,,,
case,202204,50-64,vaccinated,108200,22209789,85120,4826225.75
case,202204,50-64,vax with updated booster,,,85120,4826225.75
case,202204,65-79,vaccinated,61249,16462753.7,38839,1436462.3
case,202204,65-79,vax with updated booster,,,38839,1436462.3
case,202204,80+,vaccinated,18824,4771502,12153,621751.1
case,202204,80+,vax with updated booster,,,12153,621751.1
case,202204,all_ages,vaccinated,433164,83994930.7,412348,25870539.15
case,202204,all_ages,vax with updated booster,,,412348,25870539.15
case,202205,12-17,vaccinated,15560,6127389,24752,4767592
case,202205,12-17,vax with updated booster,,,24752,4767592
case,202205,18-29,vaccinated,42503,14271330,57706,8830916
case,202205,18-29,vax with updated booster,,,57706,8830916
case,202205,30-49,vaccinated,87486,26449758,83050,9953426
case,202205,30-49,vax with updated booster,,,83050,9953426
case,202205,5-11,vaccinated,9838,2533824,39734,9847247
case,202205,5-11,vax with updated booster,,,,
case,202205,50-64,vaccinated,59466,22259491,46423,4779837.75
case,202205,50-64,vax with updated booster,,,46423,4779837.75
case,202205,65-79,vaccinated,37717,16479849.7,23451,1428697.3
case,202205,65-79,vax with updated booster,,,23451,1428697.3
case,202205,80+,vaccinated,12566,4775881,7929,618873.1
case,202205,80+,vax with updated booster,,,7929,618873.1
case,202205,all_ages,vaccinated,239738,84236309.7,218559,25611750.15
case,202205,all_ages,vax with updated booster,,,218559,25611750.15
case,202206,12-17,vaccinated,8815,6180808,13379,4728391
case,202206,12-17,vax with updated booster,,,13379,4728391
case,202206,18-29,vaccinated,25190,14341110,32871,8758445
case,202206,18-29,vax with updated booster,,,32871,8758445
case,202206,30-49,vaccinated,51063,26539184,46294,9866618
case,202206,30-49,vax with updated booster,,,46294,9866618
case,202206,5-11,vaccinated,6106,2699887,21549,9765393
case,202206,5-11,vax with updated booster,,,,
case,202206,50-64,vaccinated,35916,22303066,26982,4744290.75
case,202206,50-64,vax with updated booster,,,26982,4744290.75
case,202206,65-79,vaccinated,24779,16495008.7,15565,1423067.3
case,202206,65-79,vax with updated booster,,,15565,1423067.3
case,202206,80+,vaccinated,8844,4779436,5385,616481.1
case,202206,80+,vax with updated booster,,,5385,616481.1
case,202206,all_ages,vaccinated,145792,84457804.7,127097,25408902.15
case,202206,all_ages,vax with updated booster,,,127097,25408902.15
case,202207,12-17,vaccinated,4982,6241616,7047,4687604
case,202207,12-17,vax with updated booster,,,7047,4687604
case,202207,18-29,vaccinated,15730,14417560,19599,8691363
case,202207,18-29,vax with updated booster,,,19599,8691363
case,202207,30-49,vaccinated,29253,26635776,25070,9786620
case,202207,30-49,vax with updated booster,,,25070,9786620
case,202207,5-11,vaccinated,3659,2868713,10845,9699387
case,202207,5-11,vax with updated booster,,,,
case,202207,50-64,vaccinated,20866,22348660,15344,4714097.75
case,202207,50-64,vax with updated booster,,,15344,4714097.75
case,202207,65-79,vaccinated,15220,16509214.7,9145,1418200.3
case,202207,65-79,vax with updated booster,,,9145,1418200.3
case,202207,80+,vaccinated,5775,4782999,3342,614413.1
case,202207,80+,vax with updated booster,,,3342,614413.1
case,202207,all_ages,vaccinated,86844,84694209.7,72500,25224694.15
case,202207,all_ages,vax with updated booster,,,72500,25224694.15
case,202208,12-17,vaccinated,2615,6295098,3755,4651971
case,202208,12-17,vax with updated booster,,,3755,4651971
case,202208,18-29,vaccinated,10003,14488651,12059,8636436
case,202208,18-29,vax with updated booster,,,12059,8636436
case,202208,30-49,vaccinated,17755,26723411,15213,9721014
case,202208,30-49,vax with updated booster,,,15213,9721014
case,202208,5-11,vaccinated,1961,3015593,5626,9639905
case,202208,5-11,vax with updated booster,,,,
case,202208,50-64,vaccinated,12898,22387739,9063,4689510.75
case,202208,50-64,vax with updated booster,,,9063,4689510.75
case,202208,65-79,vaccinated,9814,16521487.7,5626,1414789.55
case,202208,65-79,vax with updated booster,,,5626,1414789.55
case,202208,80+,vaccinated,3891,4785923,2252,612779.1
case,202208,80+,vax with updated booster,,,2252,612779.1
case,202208,all_ages,vaccinated,54361,84907211.7,44213,25074529.4
case,202208,all_ages,vax with updated booster,,,44213,25074529.4
case,202209,12-17,vaccinated,2129,6339296,2696,4626487
case,202209,12-17,vax with updated booster,,,2696,4626487
case,202209,18-29,vaccinated,7579,14552959,8046,8588565
case,202209,18-29,vax with updated booster,,,8046,8588565
case,202209,30-49,vaccinated,12548,26800255,10014,9666443
case,202209,30-49,vax with updated booster,,,10014,9666443
case,202209,5-11,vaccinated,1745,3131575,3844,9595409
case,202209,5-11,vax with updated booster,,,,
case,202209,50-64,vaccinated,9098,22420914,6339,4669814.75
case,202209,50-64,vax with updated booster,,,6339,4669814.75
case,202209,65-79,vaccinated,6915,16532723.7,3931,1411976.55
case,202209,65-79,vax with updated booster,,,3931,1411976.55
case,202209,80+,vaccinated,2640,4788828,1476,611322.1
case,202209,80+,vax with updated booster,,,1476,611322.1
case,202209,all_ages,vaccinated,38780,85095679.7,29806,24948121.4
case,202209,all_ages,vax with updated booster,,,29806,24948121.4
case,202210,12-17,vaccinated,1561,6377088,1864,4607238
case,202210,12-17,vax with updated booster,,,1864,4607238
case,202210,18-29,vaccinated,5670,14606129,5354,8549832
case,202210,18-29,vax with updated booster,,,5354,8549832
case,202210,30-49,vaccinated,9490,26862248,6587,9623931
case,202210,30-49,vax with updated booster,,,6587,9623931
case,202210,5-11,vaccinated,1410,3224239,2797,9558407
case,202210,5-11,vax with updated booster,,,,
case,202210,50-64,vaccinated,6747,22447874,4043,4654493.75
case,202210,50-64,vax with updated booster,,,4043,4654493.75
case,202210,65-79,vaccinated,5092,16541906.7,2452,1409649.55
case,202210,65-79,vax with updated booster,,,2452,1409649.55
case,202210,80+,vaccinated,1901,4791159,949,610111.1
case,202210,80+,vax with updated booster,,,949,610111.1
case,202210,all_ages,vaccinated,28900,85249316.7,19385,24848017.4
case,202210,all_ages,vax with updated booster,,,19385,24848017.4
case,202211,12-17,vaccinated,1866,6407015,1820,4590080
case,202211,12-17,vax with updated booster,,,1820,4590080
case,202211,18-29,vaccinated,5484,14649960,4589,8515485
case,202211,18-29,vax with updated booster,,,4589,8515485
case,202211,30-49,vaccinated,9866,26913232,5974,9586306
case,202211,30-49,vax with updated booster,,,5974,9586306
case,202211,5-11,vaccinated,1481,3292981,2575,9528752
case,202211,5-11,vax with updated booster,,,,
case,202211,50-64,vaccinated,6723,22469179,3436,4641193.75
case,202211,50-64,vax with updated booster,,,3436,4641193.75
case,202211,65-79,vaccinated,4551,16549458.7,2161,1407499.55
case,202211,65-79,vax with updated booster,,,2161,1407499.55
case,202211,80+,vaccinated,1631,4793165,810,609028.1
case,202211,80+,vax with updated booster,,,810,609028.1
case,202211,all_ages,vaccinated,28255,85374994.7,16970,24759512.4
case,202211,all_ages,vax with updated booster,,,16970,24759512.4
case,202212,12-17,vaccinated,2039,6430360,2005,4570312
case,202212,12-17,vax with updated booster,,,2005,4570312
case,202212,18-29,vaccinated,7954,14685990,5662,8481406
case,202212,18-29,vax with updated booster,,,5662,8481406
case,202212,30-49,vaccinated,11930,26954653,6259,9549224
case,202212,30-49,vax with updated booster,,,6259,9549224
case,202212,5-11,vaccinated,1711,3347198,2969,9499884
case,202212,5-11,vax with updated booster,,,,
case,202212,50-64,vaccinated,7826,22486252,3463,4627901.75
case,202212,50-64,vax with updated booster,,,3463,4627901.75
case,202212,65-79,vaccinated,4993,16555737.7,1940,1405451.55
case,202212,65-79,vax with updated booster,,,1940,1405451.55
case,202212,80+,vaccinated,1703,4794839,662,607958.1
case,202212,80+,vax with updated booster,,,662,607958.1
case,202212,all_ages,vaccinated,34406,85477471.7,17986,24671941.4
case,202212,all_ages,vax with updated booster,,,17986,24671941.4
case,202213,12-17,vaccinated,2281,6450940,1881,4548147
case,202213,12-17,vax with updated booster,,,1881,4548147
case,202213,18-29,vaccinated,8951,14718824,6484,8450472
case,202213,18-29,vax with updated booster,,,6484,8450472
case,202213,30-49,vaccinated,14422,26991530,7227,9515447
case,202213,30-49,vax with updated booster,,,7227,9515447
case,202213,5-11,vaccinated,1901,3393654,2638,9468157
case,202213,5-11,vax with updated booster,,,,
case,202213,50-64,vaccinated,9585,22501228,3782,4614771.75
case,202213,50-64,vax with updated booster,,,3782,4614771.75
case,202213,65-79,vaccinated,5918,16561290.7,1971,1402867.55
case,202213,65-79,vax with updated booster,,,1971,1402867.55
case,202213,80+,vaccinated,1826,4796356,771,606785.1
case,202213,80+,vax with updated booster,,,771,606785.1
case,202213,all_ages,vaccinated,40702,85569228.7,20235,24590343.4
case,202213,all_ages,vax with updated booster,,,20235,24590343.4
case,202214,12-17,vaccinated,2979,6468971,2288,4529049
case,202214,12-17,vax with updated booster,,,2288,4529049
case,202214,18-29,vaccinated,11703,14745543,8111,8421408
case,202214,18-29,vax with updated booster,,,8111,8421408
case,202214,30-49,vaccinated,19253,27021639,8968,9485002
case,202214,30-49,vax with updated booster,,,8968,9485002
case,202214,5-11,vaccinated,2496,3434605,3173,9425919
case,202214,5-11,vax with updated booster,,,,
case,202214,50-64,vaccinated,13300,22514097,4870,4596656.75
case,202214,50-64,vax with updated booster,,,4870,4596656.75
case,202214,65-79,vaccinated,8140,16566715.7,2473,1395853.55
case,202214,65-79,vax with updated booster,,,2473,1395853.55
case,202214,80+,vaccinated,2649,4797998,875,603545.1
case,202214,80+,vax with updated booster,,,875,603545.1
case,202214,all_ages,vaccinated,55045,85645992.7,25297,24502465.4
case,202214,all_ages,vax with updated booster,,,25297,24502465.4
case,202215,12-17,vaccinated,3466,6483697,2453,4515914
case,202215,12-17,vax with updated booster,,,2453,4515914
case,202215,18-29,vaccinated,14726,14769040,9936,8392580
case,202215,18-29,vax with updated booster,,,9936,8392580
case,202215,30-49,vaccinated,25255,27047648,11315,9454819
case,202215,30-49,vax with updated booster,,,11315,9454819
case,202215,5-11,vaccinated,3036,3467690,3724,9404069
case,202215,5-11,vax with updated booster,,,,
case,202215,50-64,vaccinated,18144,22530023,6240,4577783.75
case,202215,50-64,vax with updated booster,,,6240,4577783.75
case,202215,65-79,vaccinated,11217,16576298.7,3204,1388052.55
case,202215,65-79,vax with updated booster,,,3204,1388052.55
case,202215,80+,vaccinated,3870,4801619,1162,599518.1
case,202215,80+,vax with updated booster,,,1162,599518.1
case,202215,all_ages,vaccinated,73212,85724628.7,31857,24412753.4
case,202215,all_ages,vax with updated booster,,,31857,24412753.4
case,202216,12-17,vaccinated,2967,6495392,2413,4503055
case,202216,12-17,vax with updated booster,,,2413,4503055
case,202216,18-29,vaccinated,15975,14789536,11126,8365630
case,202216,18-29,vax with updated booster,,,11126,8365630
case,202216,30-49,vaccinated,28002,27069886,13399,9427094
case,202216,30-49,vax with updated booster,,,13399,9427094
case,202216,5-11,vaccinated,2827,3493602,3973,9385616
case,202216,5-11,vax with updated booster,,,,
case,202216,50-64,vaccinated,20346,22555695,7307,4560317.75
case,202216,50-64,vax with updated booster,,,7307,4560317.75
case,202216,65-79,vaccinated,13735,16617282.7,3906,1381594.55
case,202216,65-79,vax with updated booster,,,3906,1381594.55
case,202216,80+,vaccinated,5087,4814407,1511,595792.1
case,202216,80+,vax with updated booster,,,1511,595792.1
case,202216,all_ages,vaccinated,83145,85846806.7,37249,24330428.4
case,202216,all_ages,vax with updated booster,,,37249,24330428.4
case,202217,12-17,vaccinated,4713,6505740,3977,4491710
case,202217,12-17,vax with updated booster,,,3977,4491710
case,202217,18-29,vaccinated,19795,14808479,13371,8340850
case,202217,18-29,vax with updated booster,,,13371,8340850
case,202217,30-49,vaccinated,36461,27090536,17193,9401801
case,202217,30-49,vax with updated booster,,,17193,9401801
case,202217,5-11,vaccinated,4303,3515243,6271,9369347
case,202217,5-11,vax with updated booster,,,,
case,202217,50-64,vaccinated,26182,22580401,9108,4544272.75
case,202217,50-64,vax with updated booster,,,9108,4544272.75
case,202217,65-79,vaccinated,16800,16659350.7,4796,1375877.55
case,202217,65-79,vax with updated booster,,,4796,1375877.55
case,202217,80+,vaccinated,6253,4828615,2023,592036.1
case,202217,80+,vax with updated booster,,,2023,592036.1
case,202217,all_ages,vaccinated,105491,85967381.7,46491,24254837.4
case,202217,all_ages,vax with updated booster,,,46491,24254837.4
case,202218,12-17,vaccinated,7107,6515504,5729,4481252
case,202218,12-17,vax with updated booster,,,5729,4481252
case,202218,18-29,vaccinated,24862,14825779,16861,8316917
case,202218,18-29,vax with updated booster,,,16861,8316917
case,202218,30-49,vaccinated,47920,27108660,22564,9376729
case,202218,30-49,vax with updated booster,,,22564,9376729
case,202218,5-11,vaccinated,6259,3533975,8934,9353250
case,202218,5-11,vax with updated booster,,,,
case,202218,50-64,vaccinated,34060,22602521,11989,4532018.4
case,202218,50-64,vax with updated booster,,,11989,4532018.4
case,202218,65-79,vaccinated,21299,16693201.7,6117,1370921.55
case,202218,65-79,vax with updated booster,,,6117,1370921.55
case,202218,80+,vaccinated,7489,4841592,2424,588496.1
case,202218,80+,vax with updated booster,,,2424,588496.1
case,202218,all_ages,vaccinated,135630,86071753.7,59955,24185082.05
case,202218,all_ages,vax with updated booster,,,59955,24185082.05
case,202219,12-17,vaccinated,9187,6527635,7717,4470932
case,202219,12-17,vax with updated booster,,,7717,4470932
case,202219,18-29,vaccinated,27977,14843057,19729,8293022
case,202219,18-29,vax with updated booster,,,19729,8293022
case,202219,30-49,vaccinated,57672,27126242,27637,9352918
case,202219,30-49,vax with updated booster,,,27637,9352918
case,202219,5-11,vaccinated,8019,3551333,11756,9338350
case,202219,5-11,vax with updated booster,,,,
case,202219,50-64,vaccinated,41405,22623104,14617,4520778.4
case,202219,50-64,vax with updated booster,,,14617,4520778.4
case,202219,65-79,vaccinated,25520,16721194.7,7441,1366223.55
case,202219,65-79,vax with updated booster,,,7441,1366223.55
case,202219,80+,vaccinated,8999,4853008,2928,585276.1
case,202219,80+,vax with updated booster,,,2928,585276.1
